radio,mcc,net,area,cell,lon,lat,created,updated
GSM,404,55,219,44463,78.576965,25.444336,1459686520,1460613300
GSM,404,46,20123,14921,76.31034851,10.0188446,1459686519,1488264786
GSM,404,58,2006,25308,80.68977356,22.45536804,1459663480,1459663480
GSM,404,5,221,21098,70.38047791,20.91316223,1459669222,1459669222
GSM,404,5,2312,12804,70.12367249,21.12602234,1459669222,1459669222
GSM,404,5,2138,48051,70.473519,21.739199,1459692337,1476403754
GSM,404,5,1136,60264,72.520752,23.004684,1459692337,1466203553
GSM,404,45,25083,45593,77.680153,12.9995,1459692339,1563454258
GSM,404,66,4081,8241,73.43055725,18.08830261,1459703142,1460064597
GSM,404,73,1051,12083,81.235657,17.057648,1459707947,1465763998
GSM,404,54,2724,49521,78.280022,28.740671,1459707946,1486723159
GSM,404,42,18000,58805,78.07640076,10.96092224,1459713947,1469513993
GSM,404,10,210,39266,77.1988678,28.60496521,1459692561,1459692561
GSM,404,42,410,13266,76.94068909,10.90187073,1459725622,1459725622
GSM,404,45,563,6702,75.287704,12.841873,1459750157,1487077059
GSM,404,45,12231,3723,74.721451,13.354568,1459750157,1461133030
GSM,404,78,40046,11332,81.91886902,19.16908264,1459728153,1459728153
GSM,404,78,50059,11543,81.91200256,19.16496277,1459728153,1459728153
GSM,404,46,20044,13511,76.537628,10.042877,1459768768,1492309106
GSM,404,46,20043,13223,76.496658,10.091171,1459768765,1492037152
GSM,404,46,20043,13222,76.512051,10.072231,1459768765,1492309106
GSM,404,75,380,38891,86.60701,22.446854,1459802106,1473506889
GSM,404,75,400,13512,86.38893127,22.70393372,1459748748,1459748748
GSM,404,75,380,38902,86.265335,22.824097,1459802106,1463317844
GSM,404,75,400,13191,86.49055481,22.5844574,1459802107,1480818760
GSM,404,75,380,38852,86.40953064,22.6599884,1459748759,1459748759
GSM,404,75,400,12192,86.50840759,22.57072449,1459748759,1459748759
GSM,404,74,170,51113,87.06596375,22.34550476,1459748776,1459748776
GSM,404,27,151,11518,74.08561707,19.48631287,1459754095,1459754095
GSM,404,45,542,38923,74.7063446,16.73423767,1459753831,1459753831
GSM,404,44,8406,48381,75.6401825,15.42686462,1459751565,1459751565
GSM,404,80,2348,48513,76.896057,10.998001,1459812331,1484778369
GSM,404,58,1316,44579,78.941574,22.061234,1459812330,1464584736
GSM,404,45,25121,14772,77.584488,13.100235,1459813822,1467195684
GSM,404,45,25101,17613,77.54905701,12.99888611,1459813822,1469313681
GSM,404,27,271,33872,73.779068,18.601303,1459814330,1487752941
GSM,404,10,157,31097,77.44468689,28.53492737,1459778115,1459778115
GSM,404,72,4634,21062,75.854874,11.051102,1459814879,1459923989
GSM,404,45,25143,13873,77.514725,13.043518,1459833200,1491479700
GSM,404,90,3183,33268,74.301224,18.797607,1459833201,1486326985
GSM,404,92,1224,52412,72.848007,19.219894,1459833201,1477950910
GSM,404,55,219,19631,78.558426,25.452347,1459686520,1461218241
GSM,404,59,3821,38542,75.8379364,25.11405945,1459686520,1460413006
GSM,404,5,212,12157,70.28846741,21.05323792,1459669222,1459669222
